,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
8873,You Dost,UgwwEpAaUXMB9nvwm6d4AaABAg,http://clikearn.com/yHDpz﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,1,26,26,0,0,,http://clikearn.com/yHDpz﻿,,,0,0,neutral
8874,Jatin Solanki,UgxtfBwfDH9mOZoIH1V4AaABAg,Nokia 8110 worth the price??﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,29,5,1,0,,,,,0.3,0.1,positive
8875,Shaikh Irfan.c,Ugx0SFJY5UAQN1x6bvh4AaABAg,Realme2 3 kb lunch hogi﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,24,4,1,0,,,,,0,0,neutral
8876,roshan kumar,UgwEluedvoQs98Kaj6p4AaABAg,"i want to buy a phone budget is 20000 so, which one to buy honor play or poco f1 plz tell fast﻿",4 months ago,worstsmartphonesof2019,zvn73D5jNHs,22,95,3.363636364,1,0,,,,,0,0,neutral
8877,Harkirat Singh,Ugy0_a_LgC-tCsRpBgV4AaABAg,X s Max bhi overpriced hai aur apni price ko justify nahi karta﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,13,64,4,0,1,,,,,0,0,neutral
8878,Ajay Saini,UgynMB7ptS-CDUzNKXh4AaABAg,Copy of Manoj Saanu﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,20,4.25,0,0,,,,,0,0,neutral
8879,subscribe if you are a savage guruji,UgxCmstq1XF2dRWOT414AaABAg,Mere pas comio hai hahaha bekar😓﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,33,4.666666667,0,0,,,,😓,-0.15,0.45,negative
8880,Murtaza Hussain,UgzlI0ytoYqIqVW4qex4AaABAg,"Hey guruji Give me the iphone XR. For me it is worth , because i am typing in my samsung phone with 2GB of RAM ❤❤❤❤❤❤❤❤ 🔰🔰🔰🔰🔰🔰🔰🔰﻿",4 months ago,worstsmartphonesof2019,zvn73D5jNHs,27,129,3.814814815,0,3,,,,❤❤❤❤❤❤❤❤🔰🔰🔰🔰🔰🔰🔰🔰,0.3,0.1,positive
8881,Mayur Rajpal,UgxSHwslKvuNceX2F8F4AaABAg,Motorola ghatiya phone ghatiya brand after Lenovo﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,50,6.285714286,0,0,,,,,0,0,neutral
8882,Niloy Roy,UgzsaREs88JpvPQUX9R4AaABAg,Top5 best phones of 2k18 k upar ek video bana dijiye...﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,11,56,4.181818182,0,0,,,,,1,0.3,positive
8883,Prince pachauri,UgzTA8wURmpXNkXxkUZ4AaABAg,Maza aa gya video dekhkar﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,26,4.4,0,0,,,,,0,0,neutral
8884,Viren Rupareliya,Ugys3kALQ8sVPJpBxVB4AaABAg,Xs max ki price bohat ghatiya hai﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,34,4,0,0,,,,,0,0,neutral
8885,saurabh bhole,UgzVrvJinYACGDzBkWx4AaABAg,😂😂😂😂😂﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,1,6,6,0,0,,,,😂😂😂😂😂,0,0,neutral
8886,Dibyajyoti Talukdar,Ugz7x3oXlSsFNMoYf6l4AaABAg,oppo f9 pro﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,12,3.333333333,0,0,,,,,0,0,neutral
8887,Ravi Ravi,Ugw4XgA5FxQFRF7TfKJ4AaABAg,kise lagta hai TG fake giveaway karta hai?﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,43,4.5,0,1,,,,,-0.5,1,negative
8888,suresh bishnoi,UgwJeCpeLpy7PQISnUJ4AaABAg,Samsung j6+ quad core 15000 price﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,34,4.833333333,1,0,,,,,0,0,neutral
8889,Football Hindi,UgwnV1TL9s97HcTU7RN4AaABAg,5 min bad video ki ................ aayi﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,41,5,1,0,,,,,-0.7,0.6666666667,negative
8890,It'z Apurba Mandal,Ugxx_ydGydqPtu4iO194AaABAg,By By 2018 😐😐 Welcome 2019 🔥🔥 Happy New Year 🎆🎆﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,11,48,3.454545455,2,0,,,,😐😐🔥🔥🎆🎆,0.5787878788,0.7848484848,positive
8891,Love India,UgyBm_eptvIPXWv_3jt4AaABAg,Guruji naye saal ka naya﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,25,4.2,0,0,,,,,0,0,neutral
8892,My gaming productions,Ugx3A3CqB_11B2JG2QZ4AaABAg,"Oppo,vivo, Motorola, Micromax, etc ke phone bekar hai....﻿",4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,58,6.375,0,0,,,,,0,0,neutral
